itemid,itemref,itemname,quantity,price
5,221,Chef Anton's Gumbo Mix,0,21.35
9,461,Mishi Kobe Niku,29,97
17,761,Alice Mutton,0,39
24,1011,Guaraná Fantástica,20,4.5
28,1271,Rössle Sauerkraut,26,45.6
29,1261,Thüringer Rostbratwurst,0,123.79
42,2051,Singaporean Hokkien Fried Mee,26,14
53,2461,Perth Pasties,0,32.8
1,11,Chai,39,18
2,11,Chang,17,19
3,12,Aniseed Syrup,13,10
4,22,Chef Anton's Cajun Seasoning,53,22
6,32,Grandma's Boysenberry Spread,120,25
7,37,Uncle Bob's Organic Dried Pears,15,30
8,32,Northwoods Cranberry Sauce,6,40
10,48,Ikura,31,31
11,54,Queso Cabrales,22,21
12,54,Queso Manchego La Pastora,86,38
13,68,Konbu,24,6
33,154,Geitost,112,2.5
48,223,Chocolade,15,12.75
49,233,Maxilaku,10,20
50,233,Valkoinen suklaa,65,16.25
51,247,Manjimup Dried Apples,20,53
52,245,Filo Mix,38,7
54,256,Tourtière,21,7.45
55,256,Pâté chinois,115,24
56,265,Gnocchi di nonna Alice,21,38
57,265,Ravioli Angelo,36,19.5
58,278,Escargots de Bourgogne,62,13.25
59,284,Raclette Courdavault,79,55
60,284,Camembert Pierrot,19,34
61,292,Sirop d'érable,113,28.5
62,293,Tarte au sucre,17,49.3
63,72,Vegie-spread,24,43.9
64,125,Wimmers gute Semmelknödel,22,33.25
65,22,Louisiana Fiery Hot Pepper Sauce,76,21.05
66,22,Louisiana Hot Spiced Okra,4,17
67,161,Laughing Lumberjack Lager,52,14
68,83,Scottish Longbreads,6,12.5
69,154,Gudbrandsdalsost,26,36
70,71,Outback Lager,15,15
71,154,Flotemysost,26,21.5
72,144,Mozzarella di Giovanni,14,34.8
73,178,Röd Kaviar,101,15
74,47,Longlife Tofu,4,10
75,121,Rhönbräu Klosterbier,125,7.75
76,231,Lakkalikööri,57,18
77,122,Original Frankfurter grüne Soße,32,13
14,67,Tofu,35,23.25
15,62,Genen Shouyu,39,15.5
16,73,Pavlova,29,17.45
18,78,Carnarvon Tigers,42,62.5
19,83,Teatime Chocolate Biscuits,25,9.2
20,83,Sir Rodney's Marmalade,40,81
21,83,Sir Rodney's Scones,3,10
22,95,Gustaf's Knäckebröd,104,21
23,95,Tunnbröd,61,9
25,113,NuNuCa Nuß-Nougat-Creme,76,14
26,113,Gumbär Gummibärchen,15,31.23
27,113,Schoggi Schokolade,49,43.9
30,138,Nord-Ost Matjeshering,10,25.89
31,144,Gorgonzola Telino,0,12.5
32,144,Mascarpone Fabioli,9,32
34,161,Sasquatch Ale,111,14
35,161,Steeleye Stout,20,18
36,178,Inlagd Sill,112,19
37,178,Gravad lax,11,26
38,181,Côte de Blaye,17,263.5
39,181,Chartreuse verte,69,18
40,198,Boston Crab Meat,123,18.4
41,198,Jack's New England Clam Chowder,85,9.65
43,201,Ipoh Coffee,17,46
44,202,Gula Malacca,27,19.45
45,218,Rogede sild,5,9.5
46,218,Spegesild,95,12
47,223,Zaanse koeken,36,9.5
